week,count
"{2006-09-06 20:00:00, 2006-09-13 20:00:00}",186
"{2006-09-13 20:00:00, 2006-09-20 20:00:00}",222
"{2006-09-20 20:00:00, 2006-09-27 20:00:00}",191
"{2006-09-27 20:00:00, 2006-10-04 20:00:00}",221
"{2006-10-04 20:00:00, 2006-10-11 20:00:00}",189
"{2006-10-11 20:00:00, 2006-10-18 20:00:00}",226
"{2006-10-18 20:00:00, 2006-10-25 20:00:00}",184
"{2006-10-25 20:00:00, 2006-11-01 19:00:00}",226
"{2006-11-01 19:00:00, 2006-11-08 19:00:00}",188
"{2006-11-08 19:00:00, 2006-11-15 19:00:00}",225
"{2006-11-15 19:00:00, 2006-11-22 19:00:00}",200
"{2006-11-22 19:00:00, 2006-11-29 19:00:00}",229
"{2006-11-29 19:00:00, 2006-12-06 19:00:00}",198
"{2006-12-06 19:00:00, 2006-12-13 19:00:00}",234
"{2006-12-13 19:00:00, 2006-12-20 19:00:00}",192
"{2006-12-20 19:00:00, 2006-12-27 19:00:00}",233
"{2006-12-27 19:00:00, 2007-01-03 19:00:00}",193
"{2007-01-03 19:00:00, 2007-01-10 19:00:00}",232
"{2007-01-10 19:00:00, 2007-01-17 19:00:00}",193
"{2007-01-17 19:00:00, 2007-01-24 19:00:00}",235
"{2007-01-24 19:00:00, 2007-01-31 19:00:00}",194
"{2007-01-31 19:00:00, 2007-02-07 19:00:00}",228
"{2007-02-07 19:00:00, 2007-02-14 19:00:00}",201
"{2007-02-14 19:00:00, 2007-02-21 19:00:00}",229
"{2007-02-21 19:00:00, 2007-02-28 19:00:00}",198
"{2007-02-28 19:00:00, 2007-03-07 19:00:00}",247
"{2007-03-07 19:00:00, 2007-03-14 20:00:00}",217
"{2007-03-14 20:00:00, 2007-03-21 20:00:00}",257
"{2007-03-21 20:00:00, 2007-03-28 20:00:00}",231
"{2007-03-28 20:00:00, 2007-04-04 20:00:00}",264
"{2007-04-04 20:00:00, 2007-04-11 20:00:00}",229
"{2007-04-11 20:00:00, 2007-04-18 20:00:00}",266
"{2007-04-18 20:00:00, 2007-04-25 20:00:00}",231
"{2007-04-25 20:00:00, 2007-05-02 20:00:00}",272
"{2007-05-02 20:00:00, 2007-05-09 20:00:00}",226
"{2007-05-09 20:00:00, 2007-05-16 20:00:00}",276
"{2007-05-16 20:00:00, 2007-05-23 20:00:00}",223
"{2007-05-23 20:00:00, 2007-05-30 20:00:00}",276
"{2007-05-30 20:00:00, 2007-06-06 20:00:00}",221
"{2007-06-06 20:00:00, 2007-06-13 20:00:00}",264
"{2007-06-13 20:00:00, 2007-06-20 20:00:00}",230
"{2007-06-20 20:00:00, 2007-06-27 20:00:00}",269
"{2007-06-27 20:00:00, 2007-07-04 20:00:00}",232
"{2007-07-04 20:00:00, 2007-07-11 20:00:00}",269
"{2007-07-11 20:00:00, 2007-07-18 20:00:00}",234
"{2007-07-18 20:00:00, 2007-07-25 20:00:00}",279
"{2007-07-25 20:00:00, 2007-08-01 20:00:00}",232
"{2007-08-01 20:00:00, 2007-08-08 20:00:00}",273
"{2007-08-08 20:00:00, 2007-08-15 20:00:00}",237
"{2007-08-15 20:00:00, 2007-08-22 20:00:00}",273
"{2007-08-22 20:00:00, 2007-08-29 20:00:00}",233
"{2007-08-29 20:00:00, 2007-09-05 20:00:00}",276
"{2007-09-05 20:00:00, 2007-09-12 20:00:00}",233
"{2007-09-12 20:00:00, 2007-09-19 20:00:00}",286
"{2007-09-19 20:00:00, 2007-09-26 20:00:00}",231
"{2007-09-26 20:00:00, 2007-10-03 20:00:00}",294
"{2007-10-03 20:00:00, 2007-10-10 20:00:00}",244
"{2007-10-10 20:00:00, 2007-10-17 20:00:00}",283
"{2007-10-17 20:00:00, 2007-10-24 20:00:00}",248
"{2007-10-24 20:00:00, 2007-10-31 20:00:00}",294
"{2007-10-31 20:00:00, 2007-11-07 19:00:00}",257
"{2007-11-07 19:00:00, 2007-11-14 19:00:00}",289
"{2007-11-14 19:00:00, 2007-11-21 19:00:00}",257
"{2007-11-21 19:00:00, 2007-11-28 19:00:00}",302
"{2007-11-28 19:00:00, 2007-12-05 19:00:00}",251
"{2007-12-05 19:00:00, 2007-12-12 19:00:00}",300
"{2007-12-12 19:00:00, 2007-12-19 19:00:00}",261
"{2007-12-19 19:00:00, 2007-12-26 19:00:00}",298
"{2007-12-26 19:00:00, 2008-01-02 19:00:00}",262
"{2008-01-02 19:00:00, 2008-01-09 19:00:00}",306
"{2008-01-09 19:00:00, 2008-01-16 19:00:00}",253
"{2008-01-16 19:00:00, 2008-01-23 19:00:00}",306
"{2008-01-23 19:00:00, 2008-01-30 19:00:00}",256
"{2008-01-30 19:00:00, 2008-02-06 19:00:00}",302
"{2008-02-06 19:00:00, 2008-02-13 19:00:00}",255
"{2008-02-13 19:00:00, 2008-02-20 19:00:00}",304
"{2008-02-20 19:00:00, 2008-02-27 19:00:00}",250
"{2008-02-27 19:00:00, 2008-03-05 19:00:00}",297
"{2008-03-05 19:00:00, 2008-03-12 20:00:00}",253
"{2008-03-12 20:00:00, 2008-03-19 20:00:00}",297
"{2008-03-19 20:00:00, 2008-03-26 20:00:00}",251
"{2008-03-26 20:00:00, 2008-04-02 20:00:00}",311
"{2008-04-02 20:00:00, 2008-04-09 20:00:00}",260
"{2008-04-09 20:00:00, 2008-04-16 20:00:00}",311
"{2008-04-16 20:00:00, 2008-04-23 20:00:00}",279
"{2008-04-23 20:00:00, 2008-04-30 20:00:00}",321
"{2008-04-30 20:00:00, 2008-05-07 20:00:00}",288
"{2008-05-07 20:00:00, 2008-05-14 20:00:00}",338
"{2008-05-14 20:00:00, 2008-05-21 20:00:00}",290
"{2008-05-21 20:00:00, 2008-05-28 20:00:00}",339
"{2008-05-28 20:00:00, 2008-06-04 20:00:00}",294
"{2008-06-04 20:00:00, 2008-06-11 20:00:00}",337
