payment_type,count
;:UTf+W8zvO>-1TNJ#ff=k,1
;,1
UrvJPRs\\tOPh48yntTbNhH72&Yuc4WNA=ERl^H#<dS0KRw*f,1
dBMdorJROd<gmr+bR&JB4p^N zo&tM14vhOT$zZ,1
vLqA,1
_IC1*AiYJWuWNvQj(_yrL5WQSgpOhRmnlnmi5o6U\\5j(VSyf?,1
HF1KMD%(FCqCv%J_ydfVYVAQZZe^.z8mQ&obxJcPFWpcDtN,1
$5HE@!o'clM*rePE,1
o,1
RwS,1
"yMb\\\"<( vpK/G",1
WX,1
5_ZPjl1o<TJhqls,1
Shfvht<rfYeU!eBdsqTf,1
"BvT_\\\":!b^Q?kByt\\\\;WYsDF JDuW@vNJ8TK#koB%FrbLzi1Otuk@2twBpbeaJd@d8ga+yQ%SvHyMeC4RnjE",1
oYQ$5Wz1tF0SLcJ1Q/D20Q49J?VCtEjw>jdRFYr>Tqf7O$,1
DV9Pd5Y:,1
<wQc!=Cs.g>,1
.qt^BUjvWS?:5.dYE:-N7fqXrk4xdcQx_sWwTJrgUhhjO=oroV;Yip<sKKDveorPYNQF-bHQz%DF1-kWGbr9z,1
.gVF#%VPqTRPNupxA8Oy7rN&;YU5LQlU nUzQC&lFFI,1
%pR,1
XWxIioCFiqD!6WXDTYLkyYAK;QCSsA,1
SidS1Q4M/ht#URvHaH1yde_YOEHXiDAHXqVz'lR(PO:TLshTU>krRn*Xlr,1
sV?7,1
2*,1
lINggQlQhoC*,1
"Xd*T7OEIIlas@GKhwsukEovBqhwy.h2pZnQVYQ\\\"jDP>?-Qy-RdZUGXZqf5#JHl+kxxSj^ze^iw",1
Paypal,12740
Card,12753
Bank,12846
UPI,12907
