product_category,country,count
App,Argentina,1480
App,Australia,12
App,Belgium,9
App,Brazil,1246
App,Canada,8
App,China,10
App,Colombia,1474
App,Egypt,12
App,France,11
App,Germany,10
App,Greece,7
App,India,10
App,Indonesia,11
App,Iran,11
App,Ireland,11
App,Israel,6
App,Italy,7
App,Japan,8
App,Mexico,10
App,Netherlands,6
App,Norway,5
App,Pakistan,6
App,Poland,19
App,Portugal,7
App,Russia,6
App,Scotland,2
App,South Africa,10
App,South Korea,5
App,Spain,12
App,Sweden,7
App,Turkey,11
App,Ukraine,11
App,United Kingdom,15
App,United States,5
App,Venezuela,1556
Car,Argentina,2156
Car,Australia,7
Car,Belgium,12
Car,Brazil,1979
Car,Canada,15
Car,China,18
Car,Colombia,2299
Car,Egypt,19
Car,France,12
Car,Germany,11
Car,Greece,15
Car,India,11
Car,Indonesia,6
Car,Iran,5
Car,Ireland,15
Car,Israel,15
Car,Italy,12
Car,Japan,7
Car,Mexico,15
Car,Netherlands,12
Car,Norway,13
Car,Pakistan,9
Car,Poland,15
Car,Portugal,14
Car,Russia,12
Car,Scotland,6
Car,South Africa,9
Car,South Korea,13
Car,Spain,17
Car,Sweden,8
Car,Turkey,12
Car,Ukraine,14
Car,United Kingdom,14
Car,United States,12
Car,Venezuela,2360
Drug,Argentina,2010
Drug,Australia,5
Drug,Belgium,6
Drug,Brazil,1691
Drug,Canada,9
Drug,China,10
Drug,Colombia,2069
Drug,Egypt,13
Drug,France,16
Drug,Germany,7
Drug,Greece,14
Drug,India,13
Drug,Indonesia,11
Drug,Iran,13
Drug,Ireland,11
Drug,Israel,11
Drug,Italy,8
Drug,Japan,8
Drug,Mexico,9
Drug,Netherlands,15
Drug,Norway,14
Drug,Pakistan,13
Drug,Poland,20
Drug,Portugal,17
Drug,Russia,17
Drug,Scotland,9
Drug,South Africa,16
Drug,South Korea,15
Drug,Spain,10
Drug,Sweden,12
Drug,Turkey,8
Drug,Ukraine,10
Drug,United Kingdom,15
Drug,United States,14
Drug,Venezuela,2080
Groceries,Argentina,1956
Groceries,Australia,9
Groceries,Belgium,14
Groceries,Brazil,1735
Groceries,Canada,11
Groceries,China,14
Groceries,Colombia,2103
Groceries,Egypt,9
Groceries,France,8
Groceries,Germany,12
Groceries,Greece,9
Groceries,India,15
Groceries,Indonesia,10
Groceries,Iran,13
Groceries,Ireland,11
Groceries,Israel,15
Groceries,Italy,17
Groceries,Japan,5
Groceries,Mexico,7
Groceries,Netherlands,11
Groceries,Norway,11
Groceries,Pakistan,10
Groceries,Poland,18
Groceries,Portugal,19
Groceries,Russia,7
Groceries,Scotland,5
Groceries,South Africa,13
Groceries,South Korea,11
Groceries,Spain,7
Groceries,Sweden,3
Groceries,Turkey,15
Groceries,Ukraine,10
Groceries,United Kingdom,21
Groceries,United States,17
Groceries,Venezuela,2146
Movie,Argentina,2402
Movie,Australia,10
Movie,Belgium,15
Movie,Brazil,1990
Movie,Canada,11
Movie,China,14
Movie,Colombia,2412
Movie,Egypt,23
Movie,France,14
Movie,Germany,17
Movie,Greece,12
Movie,India,12
Movie,Indonesia,17
Movie,Iran,19
Movie,Ireland,14
Movie,Israel,13
Movie,Italy,11
Movie,Japan,10
Movie,Mexico,10
Movie,Netherlands,14
Movie,Norway,10
Movie,Pakistan,15
Movie,Poland,16
Movie,Portugal,20
Movie,Russia,13
Movie,Scotland,17
Movie,South Africa,18
Movie,South Korea,20
Movie,Spain,15
Movie,Sweden,11
Movie,Turkey,11
Movie,Ukraine,18
Movie,United Kingdom,22
Movie,United States,24
Movie,Venezuela,2435
Plants,Argentina,2257
Plants,Australia,12
Plants,Belgium,7
Plants,Brazil,2043
Plants,Canada,16
Plants,China,13
Plants,Colombia,2444
Plants,Egypt,17
Plants,France,20
Plants,Germany,16
Plants,Greece,9
Plants,India,16
Plants,Indonesia,16
Plants,Iran,12
Plants,Ireland,14
Plants,Israel,11
Plants,Italy,11
Plants,Japan,9
Plants,Mexico,19
Plants,Netherlands,13
Plants,Norway,13
Plants,Pakistan,13
Plants,Poland,24
Plants,Portugal,15
Plants,Russia,17
Plants,Scotland,8
Plants,South Africa,8
Plants,South Korea,9
Plants,Spain,20
Plants,Sweden,7
Plants,Turkey,13
Plants,Ukraine,13
Plants,United Kingdom,13
Plants,United States,9
Plants,Venezuela,2361
