quantity,count
0,361
1,46957
2,435
3,357
4,353
5,266
6,308
7,279
8,278
9,250
10,114
11,107
12,97
13,96
14,91
15,107
16,111
17,102
18,100
19,109
22,1
27,2
28,1
32,1
33,1
37,2
38,1
40,1
43,1
48,1
53,1
54,1
57,1
79,1
95,1
99,1
100,1
106,1
107,1
140,1
145,1
155,1
185,1
193,1
195,1
200,1
213,1
218,1
227,1
230,2
237,1
253,1
319,1
321,1
415,1
416,1
443,1
505,1
592,1
643,1
739,1
858,1
891,1
942,1
1186,1
1530,1
1739,1
2051,1
2517,1
2847,1
3288,1
3379,1
6005,1
7755,1
8384,1
9129,1
10174,1
14437,1
18802,1
23670,1
27614,1
83638,1
1450028,1
