order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,"","","","",electronics,Wallet,1,100,2022-03-05T04:26:23.405-06:00,US,Bravo,Amazon,"",Y,""
2,"","","","",electronics,Credit Card,1,100,2022-02-07T23:26:23.404-06:00,US,Alpha,Amazon,"",Y,""
3,"","","","",electronics,Credit Card,1,100,2022-03-25T16:26:23.406-05:00,US,Echo,eBay,"",Y,""
4,"","","","",tools,Internet Banking,1,100,2022-03-05T19:26:23.405-06:00,Canada,Alpha,Amazon,"",Y,""
5,"","","","",electronics,Wallet,1,100,2022-01-25T14:26:23.404-06:00,US,Delta,Walmart,"",Y,""
6,"","","","",tools,Wallet,1,100,2022-01-22T21:26:23.404-06:00,US,Alpha,Etsy,"",Y,""
7,"","","","",electronics,Credit Card,1,100,2022-02-20T17:26:23.405-06:00,US,Alpha,Walmart,"",Y,""
8,"","","","",books,Wallet,1,100,2022-03-21T00:26:23.405-05:00,US,Delta,eBay,"",Y,""
9,"","","","",tools,Credit Card,1,100,2022-01-05T08:26:23.404-06:00,US,Echo,eBay,"",Y,""
10,"","","","",tools,Wallet,1,100,2022-03-09T21:26:23.405-06:00,US,Alpha,Amazon,"",Y,""
11,"","","","",clothing,Credit Card,1,100,2022-03-06T02:26:23.405-06:00,Australia,Alpha,eBay,"",Y,""
12,"","","","",electronics,Credit Card,1,100,2022-03-08T16:26:23.405-06:00,US,Alpha,eBay,"",Y,""
13,"","","","",electronics,Credit Card,1,100,2022-03-28T01:26:23.406-05:00,US,Delta,Walmart,"",Y,""
14,"","","","",clothing,Credit Card,1,100,2022-02-09T02:26:23.405-06:00,UK,Alpha,Walmart,"",Y,""
15,"","","","",electronics,Wallet,1,100,2022-03-26T04:26:23.406-05:00,US,Charlie,Amazon,"",Y,""
16,"","","","",clothing,Internet Banking,1,100,2022-02-16T22:26:23.405-06:00,US,Delta,Walmart,"",Y,""
17,"","","","",food,Wallet,1,100,2022-03-15T08:26:23.405-05:00,US,Alpha,Amazon,"",Y,""
18,"","","","",electronics,Wallet,1,100,2022-03-30T13:26:23.406-05:00,US,Alpha,Amazon,"",Y,""
19,"","","","",electronics,Wallet,1,100,2022-02-13T06:26:23.405-06:00,US,Bravo,Amazon,"",Y,""
20,"","","","",electronics,Credit Card,2,100,2022-03-30T05:26:23.406-05:00,US,Delta,Walmart,"",Y,""
21,"","","","",electronics,Credit Card,1,100,2022-03-05T17:26:23.405-06:00,US,Alpha,eBay,"",Y,""
22,"","","","",electronics,Wallet,1,100,2022-03-03T23:26:23.405-06:00,US,Bravo,Amazon,"",Y,""
23,"","","","",tools,Wallet,1,100,2022-03-22T00:26:23.406-05:00,US,Charlie,Amazon,"",Y,""
24,"","","","",electronics,Credit Card,1,100,2022-02-12T07:26:23.405-06:00,US,Alpha,Walmart,"",Y,""
25,"","","","",electronics,Wallet,1,100,2022-02-01T17:26:23.404-06:00,US,Charlie,Amazon,"",Y,""
26,"","","","",tools,Internet Banking,1,100,2022-01-11T03:26:23.404-06:00,Australia,Echo,Amazon,"",N,Connection dropped
27,"","","","",clothing,Wallet,1,100,2022-03-24T13:26:23.406-05:00,US,Bravo,Amazon,"",Y,""
28,"","","","",electronics,Credit Card,1,100,2022-03-02T08:26:23.405-06:00,US,Alpha,Walmart,"",Y,""
29,"","","","",tools,Credit Card,1,100,2022-03-26T17:26:23.406-05:00,Canada,Alpha,Amazon,"",Y,""
30,"","","","",electronics,Credit Card,1,100,2022-02-21T11:26:23.405-06:00,US,Alpha,Amazon,"",Y,""
31,"","","","",clothing,Credit Card,1,100,2022-01-30T08:26:23.404-06:00,US,Echo,Amazon,"",Y,""
32,"","","","",electronics,Internet Banking,1,100,2022-02-24T11:26:23.405-06:00,US,Echo,Amazon,"",Y,""
33,"","","","",clothing,Credit Card,1,100,2022-01-21T18:26:23.404-06:00,Australia,Delta,Walmart,"",Y,""
