week,count,total_income,average_income_per_order
"{2000-01-05 18:00:00, 2000-01-12 18:00:00}",2423,3.877147921739009E10,1.6001435913078865E7
"{2000-01-12 18:00:00, 2000-01-19 18:00:00}",2378,4.408113143037004E10,1.853706115658959E7
"{2000-01-19 18:00:00, 2000-01-26 18:00:00}",2402,2.3880637090320038E10,9941980.470574537
"{2000-01-26 18:00:00, 2000-02-02 18:00:00}",2367,3.3447698004830017E10,1.4130839883747367E7
"{2000-02-02 18:00:00, 2000-02-09 18:00:00}",2341,2.512129472657996E10,1.073101013523279E7
"{2000-02-09 18:00:00, 2000-02-16 18:00:00}",2367,3.225098387098001E10,1.3625257233198145E7
"{2000-02-16 18:00:00, 2000-02-23 18:00:00}",2338,3.3145349042650017E10,1.4176795997711727E7
"{2000-02-23 18:00:00, 2000-03-01 18:00:00}",2366,3.2440098447089993E10,1.3710946089218086E7
"{2000-03-01 18:00:00, 2000-03-08 18:00:00}",2355,4.343933319433E10,1.8445576727953292E7
"{2000-03-08 18:00:00, 2000-03-15 18:00:00}",2284,2.249342402469003E10,9848259.205205793
"{2000-03-15 18:00:00, 2000-03-22 18:00:00}",2311,2.8660403962889984E10,1.2401732567239283E7
"{2000-03-22 18:00:00, 2000-03-29 18:00:00}",2274,3.858849862614995E10,1.6969436511059783E7
"{2000-03-29 18:00:00, 2000-04-05 19:00:00}",2270,3.704160742743003E10,1.6317888734550674E7
"{2000-04-05 19:00:00, 2000-04-12 19:00:00}",2284,2.5918943024610046E10,1.1348048609724188E7
"{2000-04-12 19:00:00, 2000-04-19 19:00:00}",2239,2.5510864160320007E10,1.1393865189959807E7
"{2000-04-19 19:00:00, 2000-04-26 19:00:00}",2278,1.5246203458090017E10,6692802.220408261
"{2000-04-26 19:00:00, 2000-05-03 19:00:00}",2255,4.956718759149E10,2.198101445298891E7
"{2000-05-03 19:00:00, 2000-05-10 19:00:00}",2224,2.9297193354270023E10,1.3173198450660981E7
"{2000-05-10 19:00:00, 2000-05-17 19:00:00}",2233,3.9368666937760025E10,1.7630392717313044E7
"{2000-05-17 19:00:00, 2000-05-24 19:00:00}",2228,2.6717618255180035E10,1.1991749665700195E7
"{2000-05-24 19:00:00, 2000-05-31 19:00:00}",2199,3.1125720989959984E10,1.415448885400636E7
"{2000-05-31 19:00:00, 2000-06-07 19:00:00}",2165,2.0901871735870007E10,9654444.219801389
"{2000-06-07 19:00:00, 2000-06-14 19:00:00}",2171,2.0216508146209995E10,9312071.923634268
"{2000-06-14 19:00:00, 2000-06-21 19:00:00}",2142,1.837938489704002E10,8580478.476676013
"{2000-06-21 19:00:00, 2000-06-28 19:00:00}",2154,3.290491578500996E10,1.5276191172242321E7
"{2000-06-28 19:00:00, 2000-07-05 19:00:00}",2149,2.9578159547820045E10,1.3763685224671962E7
"{2000-07-05 19:00:00, 2000-07-12 19:00:00}",2134,2.0062366531560013E10,9401296.406541713
"{2000-07-12 19:00:00, 2000-07-19 19:00:00}",2140,3.717857916288997E10,1.7373167833126154E7
"{2000-07-19 19:00:00, 2000-07-26 19:00:00}",2129,3.0370063294200027E10,1.426494283428841E7
"{2000-07-26 19:00:00, 2000-08-02 19:00:00}",2144,2.1630882905329994E10,1.0089031205844214E7
"{2000-08-02 19:00:00, 2000-08-09 19:00:00}",2130,4.590267423592992E10,2.155055128447414E7
"{2000-08-09 19:00:00, 2000-08-16 19:00:00}",2096,3.650657814293999E10,1.7417260564379767E7
"{2000-08-16 19:00:00, 2000-08-23 19:00:00}",2100,4.0836688680210014E10,1.9446042228671435E7
"{2000-08-23 19:00:00, 2000-08-30 19:00:00}",2069,2.6365823204149944E10,1.2743268827525347E7
"{2000-08-30 19:00:00, 2000-09-06 19:00:00}",2061,2.8587209819840008E10,1.387055304213489E7
"{2000-09-06 19:00:00, 2000-09-13 19:00:00}",2012,1.9166529124699978E10,9526107.914860824
"{2000-09-13 19:00:00, 2000-09-20 19:00:00}",2021,2.4645536393999977E10,1.2194723599208301E7
"{2000-09-20 19:00:00, 2000-09-27 19:00:00}",2045,3.2426305924100002E10,1.5856384314963326E7
"{2000-09-27 19:00:00, 2000-10-04 19:00:00}",2033,3.346122061640003E10,1.6459036210723083E7
"{2000-10-04 19:00:00, 2000-10-11 19:00:00}",2007,1.9144508887089993E10,9538868.404130539
"{2000-10-11 19:00:00, 2000-10-18 19:00:00}",1999,3.692491206390999E10,1.847169187789394E7
"{2000-10-18 19:00:00, 2000-10-25 19:00:00}",2062,4.0154362771740005E10,1.9473502799097966E7
