Arrow 508 Heavy Duty T50 1/2-Inch Staples for Upholstery Construction Furniture Crafts 1250-Pack,$3.99 
California Air Tools 10020C Ultra Quiet Oil-Free and Powerful Air Compressor 2 HP,$462.00 
DEWALT Pancake Air Compressor 6 Gallon 165 PSI (DWFP55126),$149.00 
1400 Pieces 18 Gauge Brad Nails 7 Sizes Galvanized Brad Nails Assortment Kit for Molding Cabinetry Building Assembly 2/5 Inch 5/8 Inch 3/4 Inch 1 Inch 1-1/4 Inch 1-1/2 Inch 2 Inch,$11.99 
GREX P6/MP-3 23 Gauge Multi-Pack Headless Pins (3000 per box),$9.95 
BOSTITCH Brad Nails 18GA 1-1/2-Inch 1000-Pack (BT1338B-1M),$7.48 
Lamgool 150 PSI Tire Inflator Portable Air Compressor For Car Tires With Digital Pressure Gauge LED Light Mini Rechargeable Electric Air Pump For Car Bike Motorcycle Ball And Other Inflatable (Orange),$47.99 
ARROW T50 Stainless Steel Staples Pack Set #508SS1 1/2'' 12mm and #506SS1 3/8'' 10mm,$26.99 
CRAFTSMAN V20 Inflator Tool Only (CMCE520B)  Red,$89.00 
Arrow 506 Genuine T50 3/8-Inch Staples 1250-Pack,$3.66 
Airmoto The Original Portable Air Pump 120 PSI Air Compressor Tire Inflator - Fits Car Truck & Motorcycle Tires - Digital Pressure Gauge Cordless Compact Bike Pump,$69.00 
Makita DMP180ZX 18V LXT® Lithium-Ion Cordless Inflator Tool Only,$96.95 
Mr. Pen- Nail Assortment Kit 600pc Small Nails Nails Nails for Hanging Pictures Picture Hanging Nails Finishing Nails Hanging Nails Picture Nails Wall Nails for Hanging Pin Nails,$6.99 
BOSTITCH 18 Gauge Brad Nails 2-Inch Coated 1000 per Box (BT1350B-1M),$7.30 
PORTER-CABLE Brad Nails Project Pack 18GA 3/4 Inch - 300 1-1/4-Inch - 300; 2-Inch - 300 900-Pack (BN18PP),$5.58 
RYOBI P737 18-Volt ONE+ Portable Cordless Power Inflator for Tires (Battery Not Included Power Tool Only),$46.00 
Qualihome Hardware Nail Assortment Kit Includes Finish Wire Common Brad and Picture Hanging Nails,$9.99 
DEWALT Finish Nails 20-Degree 2-Inch 16GA 2500-Pack (DCA16200),$22.99 
DEWALT Finish Nails 20-Degree 1-1/2-Inch 16GA 2500-Pack (DCA16150),$19.98 
"STAPLE 5/16"" T-50 5000PK",$12.99 
Metabo HPT Framing Nailer The Pro Preferred Brand of Pneumatic Nailers 21° Magazine Accepts 2-Inch to 3-1/2-Inch Framing Nails (NR90AES1),$169.00 
DEWALT Hog Rings Galvanized 1000-Count (DWR16G1M),$10.81 
HongWay 1500pcs Hardware Nails Assortment Kit Galvanized Nail Assorted 12 Size Wire and Brad Nails Finishing Nails Wall Nails for Pictures Hanging,$15.99 
